id;name;description;ref;is_global
1;calculate invoice Metal;Pennsylvania;Intelligent Fresh Fish 24/7 calculate;true
2;overriding;system engine;rich calculate;true
3;IB;digital Home Product;Saint Barthelemy vortals Organized;false
4;Sweden world-class Rapid;Manager Toys;backing up;true
5;Sleek Fresh Bike Practical Fresh Sausages Music;Investment Account Division;Berkshire bypass;false
6;granular Sleek;Keyboard Gardens;Music multi-tasking;true
7;Paradigm invoice;Credit Card Account Music;Global;false
8;optical;Home Loan Account models;Concrete Customer Paradigm;false
9;Home parse;Ergonomic Fresh Pizza;protocol interface;true
10;Steel Gorgeous Plastic Fish;Small monitor;quantify syndicate generate;true
