id;name;description;date_created;due_date;status;result;estimated_hours
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2020-08-05;2020-08-06;BLOCKED;NOT_STARTED;63818
2;withdrawal;Rubber;2020-08-05;2020-08-06;BLOCKED;CANCELED;69872
3;proactive reboot;zero administration;2020-08-06;2020-08-05;NEW;CANCELED;84701
4;Ramp;driver Gorgeous Soft Car Applications;2020-08-06;2020-08-05;NEW;WORKING;84490
5;Industrial ADP Western Sahara;multi-tasking;2020-08-05;2020-08-06;NEW;CANCELED;63596
6;Rustic Expanded;Hat withdrawal;2020-08-05;2020-08-06;CLOSED;WORKING;67369
7;initiatives;Shirt;2020-08-06;2020-08-05;BLOCKED;WORKAROUND;23211
8;Cambridgeshire;disintermediate heuristic Radial;2020-08-05;2020-08-05;OPEN;WORKING;27003
9;SQL;mesh;2020-08-05;2020-08-05;CLOSED;WORKAROUND;65483
10;deposit;incubate Outdoors;2020-08-05;2020-08-05;NEW;WORKAROUND;55318
