id;name;description;date_created;hours
1;Via Louisiana Markets;Open-architected copy Portugal;2020-08-06;50047
2;Computer Metrics;Plastic Music Electronics;2020-08-05;69085
3;Customer Rwanda;Markets back-end Field;2020-08-06;76255
4;bypass;Quality;2020-08-06;24856
5;strategize Garden;digital;2020-08-05;61892
6;RAM RAM programming;Sharable;2020-08-06;15070
7;Concrete compressing payment;Division;2020-08-06;47160
8;Manat;Branding parse holistic;2020-08-05;31647
9;Strategist deposit Mouse;action-items task-force;2020-08-05;80188
10;Data Buckinghamshire Cayman Islands;Regional task-force;2020-08-05;76056
